team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Avalanche,Lightning,away,D,Samuel Girard D,19:58,0,0,0,0,1,0,0,0,0/0
Avalanche,Lightning,away,D,Oliver Kylington D,05:31,0,0,-2,0,0,0,0,0,0/0
Avalanche,Lightning,away,D,Cale Makar D,25:30,1,1,0,6,0,0,0,0,0/0
Avalanche,Lightning,away,D,Sam Malinski D,13:47,0,0,-2,1,1,0,0,1,0/0
Avalanche,Lightning,away,D,Josh Manson D,15:44,0,0,-2,1,2,0,0,1,0/0
Avalanche,Lightning,away,D,Devon Toews D,23:36,0,0,-2,3,0,0,0,1,0/0
Avalanche,Lightning,away,D,Calvin de Haan D,14:50,0,0,-2,2,0,0,0,1,0/0
Avalanche,Lightning,away,D,Samuel Girard D,19:58,0,0,0,0,1,0,0,0,0/0
Avalanche,Lightning,away,D,Oliver Kylington D,05:31,0,0,-2,0,0,0,0,0,0/0
Avalanche,Lightning,away,D,Cale Makar D,25:30,1,1,0,6,0,0,0,0,0/0
Avalanche,Lightning,away,D,Sam Malinski D,13:47,0,0,-2,1,1,0,0,1,0/0
Avalanche,Lightning,away,D,Josh Manson D,15:44,0,0,-2,1,2,0,0,1,0/0
Avalanche,Lightning,away,D,Devon Toews D,23:36,0,0,-2,3,0,0,0,1,0/0
Avalanche,Lightning,away,D,Calvin de Haan D,14:50,0,0,-2,2,0,0,0,1,0/0
Avalanche,Lightning,away,F,Ivan Ivan C,18:11,1,0,-2,6,0,0,0,0,0/0
Avalanche,Lightning,away,F,Parker Kelly C,15:00,0,0,-3,2,1,0,0,0,4/11
Avalanche,Lightning,away,F,Joel Kiviranta L,15:22,0,0,1,3,2,0,0,1,0/0
Avalanche,Lightning,away,F,Nikolai Kovalenko R,12:06,0,0,-2,0,0,0,1,0,0/2
Avalanche,Lightning,away,F,Nathan MacKinnon C,24:58,0,2,0,2,3,0,0,2,5/15
Avalanche,Lightning,away,F,Casey Mittelstadt C,21:39,0,0,-1,3,1,0,0,1,3/8
Avalanche,Lightning,away,F,Logan O'Connor R,17:34,0,0,0,0,1,0,0,1,1/1
Avalanche,Lightning,away,F,Mikko Rantanen R,24:37,0,1,0,2,0,2,0,0,1/1
Avalanche,Lightning,away,F,Matt Stienburg C,04:06,0,0,-1,1,1,17,0,0,0/0
Avalanche,Lightning,away,F,T.J. Tynan C,08:36,0,0,-1,1,0,0,0,0,1/3
Avalanche,Lightning,away,F,Chris Wagner R,11:39,0,0,-2,2,2,5,0,0,4/6
Avalanche,Lightning,away,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Lightning,away,F,Samuel Girard D,19:58,0,0,0,0,1,0,0,0,0/0
Avalanche,Lightning,away,F,Oliver Kylington D,05:31,0,0,-2,0,0,0,0,0,0/0
Avalanche,Lightning,away,F,Cale Makar D,25:30,1,1,0,6,0,0,0,0,0/0
Avalanche,Lightning,away,F,Sam Malinski D,13:47,0,0,-2,1,1,0,0,1,0/0
Avalanche,Lightning,away,F,Josh Manson D,15:44,0,0,-2,1,2,0,0,1,0/0
Avalanche,Lightning,away,F,Devon Toews D,23:36,0,0,-2,3,0,0,0,1,0/0
Avalanche,Lightning,away,F,Calvin de Haan D,14:50,0,0,-2,2,0,0,0,1,0/0
Avalanche,Lightning,away,F,Ivan Ivan C,18:11,1,0,-2,6,0,0,0,0,0/0
Avalanche,Lightning,away,F,Parker Kelly C,15:00,0,0,-3,2,1,0,0,0,4/11
Avalanche,Lightning,away,F,Joel Kiviranta L,15:22,0,0,1,3,2,0,0,1,0/0
Avalanche,Lightning,away,F,Nikolai Kovalenko R,12:06,0,0,-2,0,0,0,1,0,0/2
Avalanche,Lightning,away,F,Nathan MacKinnon C,24:58,0,2,0,2,3,0,0,2,5/15
Avalanche,Lightning,away,F,Casey Mittelstadt C,21:39,0,0,-1,3,1,0,0,1,3/8
Avalanche,Lightning,away,F,Logan O'Connor R,17:34,0,0,0,0,1,0,0,1,1/1
Avalanche,Lightning,away,F,Mikko Rantanen R,24:37,0,1,0,2,0,2,0,0,1/1
Avalanche,Lightning,away,F,Matt Stienburg C,04:06,0,0,-1,1,1,17,0,0,0/0
Avalanche,Lightning,away,F,T.J. Tynan C,08:36,0,0,-1,1,0,0,0,0,1/3
Avalanche,Lightning,away,F,Chris Wagner R,11:39,0,0,-2,2,2,5,0,0,4/6
Avalanche,Lightning,away,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Lightning,away,F,Samuel Girard D,19:58,0,0,0,0,1,0,0,0,0/0
Avalanche,Lightning,away,F,Oliver Kylington D,05:31,0,0,-2,0,0,0,0,0,0/0
Avalanche,Lightning,away,F,Cale Makar D,25:30,1,1,0,6,0,0,0,0,0/0
Avalanche,Lightning,away,F,Sam Malinski D,13:47,0,0,-2,1,1,0,0,1,0/0
Avalanche,Lightning,away,F,Josh Manson D,15:44,0,0,-2,1,2,0,0,1,0/0
Avalanche,Lightning,away,F,Devon Toews D,23:36,0,0,-2,3,0,0,0,1,0/0
Avalanche,Lightning,away,F,Calvin de Haan D,14:50,0,0,-2,2,0,0,0,1,0/0
