team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Avalanche,Predators,home,D,Samuel Girard D,23:09,0,0,0,3,4,0,1,1,0/0
Avalanche,Predators,home,D,Oliver Kylington D,04:27,0,0,0,0,0,0,0,0,0/0
Avalanche,Predators,home,D,John Ludvig D,11:32,0,0,0,1,0,2,0,0,0/0
Avalanche,Predators,home,D,Cale Makar D,26:38,1,1,-1,3,3,0,3,2,0/0
Avalanche,Predators,home,D,Sam Malinski D,15:57,0,0,0,0,0,0,1,2,0/0
Avalanche,Predators,home,D,Josh Manson D,16:59,0,0,-1,0,1,0,2,3,0/0
Avalanche,Predators,home,D,Devon Toews D,23:09,0,1,-2,0,1,0,0,2,0/0
Avalanche,Predators,home,D,Samuel Girard D,23:09,0,0,0,3,4,0,1,1,0/0
Avalanche,Predators,home,D,Oliver Kylington D,04:27,0,0,0,0,0,0,0,0,0/0
Avalanche,Predators,home,D,John Ludvig D,11:32,0,0,0,1,0,2,0,0,0/0
Avalanche,Predators,home,D,Cale Makar D,26:38,1,1,-1,3,3,0,3,2,0/0
Avalanche,Predators,home,D,Sam Malinski D,15:57,0,0,0,0,0,0,1,2,0/0
Avalanche,Predators,home,D,Josh Manson D,16:59,0,0,-1,0,1,0,2,3,0/0
Avalanche,Predators,home,D,Devon Toews D,23:09,0,1,-2,0,1,0,0,2,0/0
Avalanche,Predators,home,F,Ivan Ivan C,17:52,0,0,-2,1,0,2,1,1,0/0
Avalanche,Predators,home,F,Parker Kelly C,13:52,0,0,0,4,1,0,0,0,5/10
Avalanche,Predators,home,F,Joel Kiviranta L,15:45,0,0,0,3,0,2,1,0,0/0
Avalanche,Predators,home,F,Nikolai Kovalenko R,12:25,0,0,0,0,0,0,1,3,0/0
Avalanche,Predators,home,F,Nathan MacKinnon C,22:32,1,1,-1,6,1,0,0,5,15/27
Avalanche,Predators,home,F,Casey Mittelstadt C,21:55,0,1,-2,2,1,0,0,0,5/11
Avalanche,Predators,home,F,Logan O'Connor R,16:13,0,0,-1,1,0,0,1,0,1/2
Avalanche,Predators,home,F,Nikita Prishchepov C,13:30,0,0,0,2,0,0,0,0,0/0
Avalanche,Predators,home,F,Mikko Rantanen R,26:20,0,0,-1,3,0,0,0,3,0/6
Avalanche,Predators,home,F,T.J. Tynan C,08:15,0,0,0,0,2,0,0,1,1/2
Avalanche,Predators,home,F,Chris Wagner R,08:36,0,0,0,1,2,0,0,0,4/5
Avalanche,Predators,home,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Predators,home,F,Samuel Girard D,23:09,0,0,0,3,4,0,1,1,0/0
Avalanche,Predators,home,F,Oliver Kylington D,04:27,0,0,0,0,0,0,0,0,0/0
Avalanche,Predators,home,F,John Ludvig D,11:32,0,0,0,1,0,2,0,0,0/0
Avalanche,Predators,home,F,Cale Makar D,26:38,1,1,-1,3,3,0,3,2,0/0
Avalanche,Predators,home,F,Sam Malinski D,15:57,0,0,0,0,0,0,1,2,0/0
Avalanche,Predators,home,F,Josh Manson D,16:59,0,0,-1,0,1,0,2,3,0/0
Avalanche,Predators,home,F,Devon Toews D,23:09,0,1,-2,0,1,0,0,2,0/0
Avalanche,Predators,home,F,Ivan Ivan C,17:52,0,0,-2,1,0,2,1,1,0/0
Avalanche,Predators,home,F,Parker Kelly C,13:52,0,0,0,4,1,0,0,0,5/10
Avalanche,Predators,home,F,Joel Kiviranta L,15:45,0,0,0,3,0,2,1,0,0/0
Avalanche,Predators,home,F,Nikolai Kovalenko R,12:25,0,0,0,0,0,0,1,3,0/0
Avalanche,Predators,home,F,Nathan MacKinnon C,22:32,1,1,-1,6,1,0,0,5,15/27
Avalanche,Predators,home,F,Casey Mittelstadt C,21:55,0,1,-2,2,1,0,0,0,5/11
Avalanche,Predators,home,F,Logan O'Connor R,16:13,0,0,-1,1,0,0,1,0,1/2
Avalanche,Predators,home,F,Nikita Prishchepov C,13:30,0,0,0,2,0,0,0,0,0/0
Avalanche,Predators,home,F,Mikko Rantanen R,26:20,0,0,-1,3,0,0,0,3,0/6
Avalanche,Predators,home,F,T.J. Tynan C,08:15,0,0,0,0,2,0,0,1,1/2
Avalanche,Predators,home,F,Chris Wagner R,08:36,0,0,0,1,2,0,0,0,4/5
Avalanche,Predators,home,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Predators,home,F,Samuel Girard D,23:09,0,0,0,3,4,0,1,1,0/0
Avalanche,Predators,home,F,Oliver Kylington D,04:27,0,0,0,0,0,0,0,0,0/0
Avalanche,Predators,home,F,John Ludvig D,11:32,0,0,0,1,0,2,0,0,0/0
Avalanche,Predators,home,F,Cale Makar D,26:38,1,1,-1,3,3,0,3,2,0/0
Avalanche,Predators,home,F,Sam Malinski D,15:57,0,0,0,0,0,0,1,2,0/0
Avalanche,Predators,home,F,Josh Manson D,16:59,0,0,-1,0,1,0,2,3,0/0
Avalanche,Predators,home,F,Devon Toews D,23:09,0,1,-2,0,1,0,0,2,0/0
