team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Avalanche,Hurricanes,away,D,Samuel Girard D,21:57,0,1,-1,1,1,0,0,3,0/0
Avalanche,Hurricanes,away,D,John Ludvig D,09:51,0,1,0,0,1,2,0,0,0/0
Avalanche,Hurricanes,away,D,Cale Makar D,25:12,1,0,2,4,1,0,3,0,0/0
Avalanche,Hurricanes,away,D,Sam Malinski D,15:54,1,0,1,1,2,2,0,0,0/0
Avalanche,Hurricanes,away,D,Josh Manson D,16:29,0,0,0,0,0,0,1,1,0/0
Avalanche,Hurricanes,away,D,Devon Toews D,26:15,0,1,2,2,1,0,1,1,0/0
Avalanche,Hurricanes,away,D,Samuel Girard D,21:57,0,1,-1,1,1,0,0,3,0/0
Avalanche,Hurricanes,away,D,John Ludvig D,09:51,0,1,0,0,1,2,0,0,0/0
Avalanche,Hurricanes,away,D,Cale Makar D,25:12,1,0,2,4,1,0,3,0,0/0
Avalanche,Hurricanes,away,D,Sam Malinski D,15:54,1,0,1,1,2,2,0,0,0/0
Avalanche,Hurricanes,away,D,Josh Manson D,16:29,0,0,0,0,0,0,1,1,0/0
Avalanche,Hurricanes,away,D,Devon Toews D,26:15,0,1,2,2,1,0,1,1,0/0
Avalanche,Hurricanes,away,F,Ivan Ivan C,12:53,0,0,0,0,0,0,0,1,0/0
Avalanche,Hurricanes,away,F,Parker Kelly C,11:53,0,0,0,0,0,0,1,0,3/15
Avalanche,Hurricanes,away,F,Joel Kiviranta L,12:57,0,0,-1,2,0,0,0,1,0/1
Avalanche,Hurricanes,away,F,Nikolai Kovalenko R,11:57,0,0,0,2,1,0,1,0,0/0
Avalanche,Hurricanes,away,F,Artturi Lehkonen L,26:10,1,1,3,5,0,0,0,0,0/0
Avalanche,Hurricanes,away,F,Nathan MacKinnon C,26:19,1,3,3,7,0,0,1,0,11/22
Avalanche,Hurricanes,away,F,Casey Mittelstadt C,18:58,0,1,0,1,0,0,0,1,7/17
Avalanche,Hurricanes,away,F,Logan O'Connor R,12:35,0,0,0,0,1,0,0,1,0/0
Avalanche,Hurricanes,away,F,Nikita Prishchepov C,05:35,0,0,-1,0,1,0,0,0,0/0
Avalanche,Hurricanes,away,F,Mikko Rantanen R,25:02,2,1,3,4,0,2,1,0,5/5
Avalanche,Hurricanes,away,F,T.J. Tynan C,07:21,0,0,-1,0,1,2,0,0,1/4
Avalanche,Hurricanes,away,F,Chris Wagner R,05:31,0,0,-1,0,1,0,0,0,0/3
Avalanche,Hurricanes,away,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Hurricanes,away,F,Samuel Girard D,21:57,0,1,-1,1,1,0,0,3,0/0
Avalanche,Hurricanes,away,F,John Ludvig D,09:51,0,1,0,0,1,2,0,0,0/0
Avalanche,Hurricanes,away,F,Cale Makar D,25:12,1,0,2,4,1,0,3,0,0/0
Avalanche,Hurricanes,away,F,Sam Malinski D,15:54,1,0,1,1,2,2,0,0,0/0
Avalanche,Hurricanes,away,F,Josh Manson D,16:29,0,0,0,0,0,0,1,1,0/0
Avalanche,Hurricanes,away,F,Devon Toews D,26:15,0,1,2,2,1,0,1,1,0/0
Avalanche,Hurricanes,away,F,Ivan Ivan C,12:53,0,0,0,0,0,0,0,1,0/0
Avalanche,Hurricanes,away,F,Parker Kelly C,11:53,0,0,0,0,0,0,1,0,3/15
Avalanche,Hurricanes,away,F,Joel Kiviranta L,12:57,0,0,-1,2,0,0,0,1,0/1
Avalanche,Hurricanes,away,F,Nikolai Kovalenko R,11:57,0,0,0,2,1,0,1,0,0/0
Avalanche,Hurricanes,away,F,Artturi Lehkonen L,26:10,1,1,3,5,0,0,0,0,0/0
Avalanche,Hurricanes,away,F,Nathan MacKinnon C,26:19,1,3,3,7,0,0,1,0,11/22
Avalanche,Hurricanes,away,F,Casey Mittelstadt C,18:58,0,1,0,1,0,0,0,1,7/17
Avalanche,Hurricanes,away,F,Logan O'Connor R,12:35,0,0,0,0,1,0,0,1,0/0
Avalanche,Hurricanes,away,F,Nikita Prishchepov C,05:35,0,0,-1,0,1,0,0,0,0/0
Avalanche,Hurricanes,away,F,Mikko Rantanen R,25:02,2,1,3,4,0,2,1,0,5/5
Avalanche,Hurricanes,away,F,T.J. Tynan C,07:21,0,0,-1,0,1,2,0,0,1/4
Avalanche,Hurricanes,away,F,Chris Wagner R,05:31,0,0,-1,0,1,0,0,0,0/3
Avalanche,Hurricanes,away,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Hurricanes,away,F,Samuel Girard D,21:57,0,1,-1,1,1,0,0,3,0/0
Avalanche,Hurricanes,away,F,John Ludvig D,09:51,0,1,0,0,1,2,0,0,0/0
Avalanche,Hurricanes,away,F,Cale Makar D,25:12,1,0,2,4,1,0,3,0,0/0
Avalanche,Hurricanes,away,F,Sam Malinski D,15:54,1,0,1,1,2,2,0,0,0/0
Avalanche,Hurricanes,away,F,Josh Manson D,16:29,0,0,0,0,0,0,1,1,0/0
Avalanche,Hurricanes,away,F,Devon Toews D,26:15,0,1,2,2,1,0,1,1,0/0
