team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Avalanche,Capitals,away,D,Samuel Girard D,20:27,0,1,-1,2,3,0,0,1,0/0
Avalanche,Capitals,away,D,Cale Makar D,26:47,0,0,-1,3,3,0,1,1,0/0
Avalanche,Capitals,away,D,Sam Malinski D,15:40,0,0,0,1,1,0,0,0,0/0
Avalanche,Capitals,away,D,Josh Manson D,17:30,0,0,0,0,0,0,0,1,0/0
Avalanche,Capitals,away,D,Devon Toews D,23:01,0,0,-1,2,2,0,0,0,0/0
Avalanche,Capitals,away,D,Calvin de Haan D,11:29,0,0,0,2,1,2,0,0,0/0
Avalanche,Capitals,away,D,Samuel Girard D,20:27,0,1,-1,2,3,0,0,1,0/0
Avalanche,Capitals,away,D,Cale Makar D,26:47,0,0,-1,3,3,0,1,1,0/0
Avalanche,Capitals,away,D,Sam Malinski D,15:40,0,0,0,1,1,0,0,0,0/0
Avalanche,Capitals,away,D,Josh Manson D,17:30,0,0,0,0,0,0,0,1,0/0
Avalanche,Capitals,away,D,Devon Toews D,23:01,0,0,-1,2,2,0,0,0,0/0
Avalanche,Capitals,away,D,Calvin de Haan D,11:29,0,0,0,2,1,2,0,0,0/0
Avalanche,Capitals,away,F,Jonathan Drouin L,19:49,0,0,-2,0,1,0,1,1,1/1
Avalanche,Capitals,away,F,Ivan Ivan C,10:44,0,0,0,0,0,0,0,1,5/10
Avalanche,Capitals,away,F,Parker Kelly C,08:41,1,1,2,2,0,0,0,0,5/8
Avalanche,Capitals,away,F,Joel Kiviranta L,11:55,0,0,0,0,2,0,0,1,0/2
Avalanche,Capitals,away,F,Nikolai Kovalenko R,06:31,1,0,2,2,0,0,0,0,0/0
Avalanche,Capitals,away,F,Artturi Lehkonen L,22:10,0,0,-2,1,0,0,0,1,0/1
Avalanche,Capitals,away,F,Nathan MacKinnon C,22:06,0,0,-2,0,0,0,0,2,10/20
Avalanche,Capitals,away,F,Casey Mittelstadt C,19:25,0,0,-2,1,0,2,0,3,6/15
Avalanche,Capitals,away,F,Valeri Nichushkin R,19:27,0,0,-3,1,1,0,0,0,0/0
Avalanche,Capitals,away,F,Logan O'Connor R,14:17,0,0,-1,0,1,0,0,0,1/1
Avalanche,Capitals,away,F,Mikko Rantanen R,21:31,0,0,-2,1,2,0,0,2,2/5
Avalanche,Capitals,away,F,Miles Wood L,07:53,0,1,2,1,1,0,0,0,1/2
Avalanche,Capitals,away,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Capitals,away,F,Samuel Girard D,20:27,0,1,-1,2,3,0,0,1,0/0
Avalanche,Capitals,away,F,Cale Makar D,26:47,0,0,-1,3,3,0,1,1,0/0
Avalanche,Capitals,away,F,Sam Malinski D,15:40,0,0,0,1,1,0,0,0,0/0
Avalanche,Capitals,away,F,Josh Manson D,17:30,0,0,0,0,0,0,0,1,0/0
Avalanche,Capitals,away,F,Devon Toews D,23:01,0,0,-1,2,2,0,0,0,0/0
Avalanche,Capitals,away,F,Calvin de Haan D,11:29,0,0,0,2,1,2,0,0,0/0
Avalanche,Capitals,away,F,Jonathan Drouin L,19:49,0,0,-2,0,1,0,1,1,1/1
Avalanche,Capitals,away,F,Ivan Ivan C,10:44,0,0,0,0,0,0,0,1,5/10
Avalanche,Capitals,away,F,Parker Kelly C,08:41,1,1,2,2,0,0,0,0,5/8
Avalanche,Capitals,away,F,Joel Kiviranta L,11:55,0,0,0,0,2,0,0,1,0/2
Avalanche,Capitals,away,F,Nikolai Kovalenko R,06:31,1,0,2,2,0,0,0,0,0/0
Avalanche,Capitals,away,F,Artturi Lehkonen L,22:10,0,0,-2,1,0,0,0,1,0/1
Avalanche,Capitals,away,F,Nathan MacKinnon C,22:06,0,0,-2,0,0,0,0,2,10/20
Avalanche,Capitals,away,F,Casey Mittelstadt C,19:25,0,0,-2,1,0,2,0,3,6/15
Avalanche,Capitals,away,F,Valeri Nichushkin R,19:27,0,0,-3,1,1,0,0,0,0/0
Avalanche,Capitals,away,F,Logan O'Connor R,14:17,0,0,-1,0,1,0,0,0,1/1
Avalanche,Capitals,away,F,Mikko Rantanen R,21:31,0,0,-2,1,2,0,0,2,2/5
Avalanche,Capitals,away,F,Miles Wood L,07:53,0,1,2,1,1,0,0,0,1/2
Avalanche,Capitals,away,F,Avalanche Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSamuel
Avalanche,Capitals,away,F,Samuel Girard D,20:27,0,1,-1,2,3,0,0,1,0/0
Avalanche,Capitals,away,F,Cale Makar D,26:47,0,0,-1,3,3,0,1,1,0/0
Avalanche,Capitals,away,F,Sam Malinski D,15:40,0,0,0,1,1,0,0,0,0/0
Avalanche,Capitals,away,F,Josh Manson D,17:30,0,0,0,0,0,0,0,1,0/0
Avalanche,Capitals,away,F,Devon Toews D,23:01,0,0,-1,2,2,0,0,0,0/0
Avalanche,Capitals,away,F,Calvin de Haan D,11:29,0,0,0,2,1,2,0,0,0/0
