team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flyers,Canucks,home,D,Jamie Drysdale D,18:37,0,0,-1,0,3,0,1,1,0/0
Flyers,Canucks,home,D,Erik Johnson D,15:45,0,0,0,0,0,0,0,1,0/0
Flyers,Canucks,home,D,Rasmus Ristolainen D,19:01,0,0,-1,3,0,0,0,0,0/0
Flyers,Canucks,home,D,Travis Sanheim D,24:18,0,0,1,2,3,0,1,0,0/0
Flyers,Canucks,home,D,Cam York D,20:47,1,0,1,1,0,2,2,1,0/0
Flyers,Canucks,home,D,Egor Zamula D,19:31,0,0,-2,1,2,0,0,0,0/0
Flyers,Canucks,home,D,Jamie Drysdale D,18:37,0,0,-1,0,3,0,1,1,0/0
Flyers,Canucks,home,D,Erik Johnson D,15:45,0,0,0,0,0,0,0,1,0/0
Flyers,Canucks,home,D,Rasmus Ristolainen D,19:01,0,0,-1,3,0,0,0,0,0/0
Flyers,Canucks,home,D,Travis Sanheim D,24:18,0,0,1,2,3,0,1,0,0/0
Flyers,Canucks,home,D,Cam York D,20:47,1,0,1,1,0,2,2,1,0/0
Flyers,Canucks,home,D,Egor Zamula D,19:31,0,0,-2,1,2,0,0,0,0/0
Flyers,Canucks,home,F,Bobby Brink R,12:24,0,1,-1,2,1,0,0,3,0/0
Flyers,Canucks,home,F,Sean Couturier C,15:15,0,0,0,1,1,0,1,0,5/16
Flyers,Canucks,home,F,Joel Farabee L,14:15,0,1,-1,0,0,0,1,1,0/0
Flyers,Canucks,home,F,Tyson Foerster R,19:08,1,0,0,4,1,0,0,1,0/0
Flyers,Canucks,home,F,Morgan Frost C,17:10,0,0,0,3,0,2,0,1,10/21
Flyers,Canucks,home,F,Garnet Hathaway R,11:45,0,1,0,0,2,0,1,0,0/0
Flyers,Canucks,home,F,Travis Konecny R,21:48,0,0,0,4,0,0,0,2,0/1
Flyers,Canucks,home,F,Scott Laughton C,11:19,0,0,0,2,0,2,0,0,1/2
Flyers,Canucks,home,F,Jett Luchanko C,14:36,0,0,-1,1,0,0,0,1,3/9
Flyers,Canucks,home,F,Matvei Michkov R,18:32,0,0,0,4,1,2,0,1,0/0
Flyers,Canucks,home,F,Ryan Poehling C,13:38,0,1,0,1,2,0,0,1,7/13
Flyers,Canucks,home,F,Owen Tippett R,17:11,0,0,0,2,4,0,0,1,1/2
Flyers,Canucks,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJamie
Flyers,Canucks,home,F,Jamie Drysdale D,18:37,0,0,-1,0,3,0,1,1,0/0
Flyers,Canucks,home,F,Erik Johnson D,15:45,0,0,0,0,0,0,0,1,0/0
Flyers,Canucks,home,F,Rasmus Ristolainen D,19:01,0,0,-1,3,0,0,0,0,0/0
Flyers,Canucks,home,F,Travis Sanheim D,24:18,0,0,1,2,3,0,1,0,0/0
Flyers,Canucks,home,F,Cam York D,20:47,1,0,1,1,0,2,2,1,0/0
Flyers,Canucks,home,F,Egor Zamula D,19:31,0,0,-2,1,2,0,0,0,0/0
Flyers,Canucks,home,F,Bobby Brink R,12:24,0,1,-1,2,1,0,0,3,0/0
Flyers,Canucks,home,F,Sean Couturier C,15:15,0,0,0,1,1,0,1,0,5/16
Flyers,Canucks,home,F,Joel Farabee L,14:15,0,1,-1,0,0,0,1,1,0/0
Flyers,Canucks,home,F,Tyson Foerster R,19:08,1,0,0,4,1,0,0,1,0/0
Flyers,Canucks,home,F,Morgan Frost C,17:10,0,0,0,3,0,2,0,1,10/21
Flyers,Canucks,home,F,Garnet Hathaway R,11:45,0,1,0,0,2,0,1,0,0/0
Flyers,Canucks,home,F,Travis Konecny R,21:48,0,0,0,4,0,0,0,2,0/1
Flyers,Canucks,home,F,Scott Laughton C,11:19,0,0,0,2,0,2,0,0,1/2
Flyers,Canucks,home,F,Jett Luchanko C,14:36,0,0,-1,1,0,0,0,1,3/9
Flyers,Canucks,home,F,Matvei Michkov R,18:32,0,0,0,4,1,2,0,1,0/0
Flyers,Canucks,home,F,Ryan Poehling C,13:38,0,1,0,1,2,0,0,1,7/13
Flyers,Canucks,home,F,Owen Tippett R,17:11,0,0,0,2,4,0,0,1,1/2
Flyers,Canucks,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJamie
Flyers,Canucks,home,F,Jamie Drysdale D,18:37,0,0,-1,0,3,0,1,1,0/0
Flyers,Canucks,home,F,Erik Johnson D,15:45,0,0,0,0,0,0,0,1,0/0
Flyers,Canucks,home,F,Rasmus Ristolainen D,19:01,0,0,-1,3,0,0,0,0,0/0
Flyers,Canucks,home,F,Travis Sanheim D,24:18,0,0,1,2,3,0,1,0,0/0
Flyers,Canucks,home,F,Cam York D,20:47,1,0,1,1,0,2,2,1,0/0
Flyers,Canucks,home,F,Egor Zamula D,19:31,0,0,-2,1,2,0,0,0,0/0
