team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flyers,Capitals,home,D,Jamie Drysdale D,22:23,0,2,-1,0,3,0,0,1,0/0
Flyers,Capitals,home,D,Rasmus Ristolainen D,14:34,0,0,-2,0,0,0,0,0,0/0
Flyers,Capitals,home,D,Travis Sanheim D,23:00,0,0,0,4,2,0,0,1,0/0
Flyers,Capitals,home,D,Nick Seeler D,12:36,0,0,-1,0,1,0,0,2,0/0
Flyers,Capitals,home,D,Cam York D,22:05,0,0,-2,0,0,0,0,1,0/0
Flyers,Capitals,home,D,Egor Zamula D,19:02,0,1,-2,1,2,0,0,1,0/0
Flyers,Capitals,home,D,Jamie Drysdale D,22:23,0,2,-1,0,3,0,0,1,0/0
Flyers,Capitals,home,D,Rasmus Ristolainen D,14:34,0,0,-2,0,0,0,0,0,0/0
Flyers,Capitals,home,D,Travis Sanheim D,23:00,0,0,0,4,2,0,0,1,0/0
Flyers,Capitals,home,D,Nick Seeler D,12:36,0,0,-1,0,1,0,0,2,0/0
Flyers,Capitals,home,D,Cam York D,22:05,0,0,-2,0,0,0,0,1,0/0
Flyers,Capitals,home,D,Egor Zamula D,19:02,0,1,-2,1,2,0,0,1,0/0
Flyers,Capitals,home,F,Noah Cates L,13:39,0,0,0,0,1,0,1,0,10/15
Flyers,Capitals,home,F,Sean Couturier C,15:56,0,0,-2,3,0,0,1,2,14/19
Flyers,Capitals,home,F,Nicolas Deslauriers L,06:52,0,0,0,1,1,0,0,1,0/0
Flyers,Capitals,home,F,Joel Farabee L,08:58,0,0,-1,0,0,0,0,3,0/1
Flyers,Capitals,home,F,Tyson Foerster R,13:51,0,1,0,1,0,2,0,1,0/0
Flyers,Capitals,home,F,Morgan Frost C,19:25,0,0,-4,7,0,2,0,0,8/15
Flyers,Capitals,home,F,Garnet Hathaway R,11:48,0,0,0,3,0,0,0,0,0/0
Flyers,Capitals,home,F,Travis Konecny R,21:26,1,0,-4,5,0,2,0,0,0/1
Flyers,Capitals,home,F,Scott Laughton C,18:19,0,0,-2,0,0,0,0,3,1/3
Flyers,Capitals,home,F,Matvei Michkov R,21:03,1,1,-3,3,0,2,1,2,2/3
Flyers,Capitals,home,F,Ryan Poehling C,11:21,0,0,-1,0,3,0,0,0,7/11
Flyers,Capitals,home,F,Owen Tippett R,17:18,1,1,-2,1,0,0,0,0,0/0
Flyers,Capitals,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJamie
Flyers,Capitals,home,F,Jamie Drysdale D,22:23,0,2,-1,0,3,0,0,1,0/0
Flyers,Capitals,home,F,Rasmus Ristolainen D,14:34,0,0,-2,0,0,0,0,0,0/0
Flyers,Capitals,home,F,Travis Sanheim D,23:00,0,0,0,4,2,0,0,1,0/0
Flyers,Capitals,home,F,Nick Seeler D,12:36,0,0,-1,0,1,0,0,2,0/0
Flyers,Capitals,home,F,Cam York D,22:05,0,0,-2,0,0,0,0,1,0/0
Flyers,Capitals,home,F,Egor Zamula D,19:02,0,1,-2,1,2,0,0,1,0/0
Flyers,Capitals,home,F,Noah Cates L,13:39,0,0,0,0,1,0,1,0,10/15
Flyers,Capitals,home,F,Sean Couturier C,15:56,0,0,-2,3,0,0,1,2,14/19
Flyers,Capitals,home,F,Nicolas Deslauriers L,06:52,0,0,0,1,1,0,0,1,0/0
Flyers,Capitals,home,F,Joel Farabee L,08:58,0,0,-1,0,0,0,0,3,0/1
Flyers,Capitals,home,F,Tyson Foerster R,13:51,0,1,0,1,0,2,0,1,0/0
Flyers,Capitals,home,F,Morgan Frost C,19:25,0,0,-4,7,0,2,0,0,8/15
Flyers,Capitals,home,F,Garnet Hathaway R,11:48,0,0,0,3,0,0,0,0,0/0
Flyers,Capitals,home,F,Travis Konecny R,21:26,1,0,-4,5,0,2,0,0,0/1
Flyers,Capitals,home,F,Scott Laughton C,18:19,0,0,-2,0,0,0,0,3,1/3
Flyers,Capitals,home,F,Matvei Michkov R,21:03,1,1,-3,3,0,2,1,2,2/3
Flyers,Capitals,home,F,Ryan Poehling C,11:21,0,0,-1,0,3,0,0,0,7/11
Flyers,Capitals,home,F,Owen Tippett R,17:18,1,1,-2,1,0,0,0,0,0/0
Flyers,Capitals,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJamie
Flyers,Capitals,home,F,Jamie Drysdale D,22:23,0,2,-1,0,3,0,0,1,0/0
Flyers,Capitals,home,F,Rasmus Ristolainen D,14:34,0,0,-2,0,0,0,0,0,0/0
Flyers,Capitals,home,F,Travis Sanheim D,23:00,0,0,0,4,2,0,0,1,0/0
Flyers,Capitals,home,F,Nick Seeler D,12:36,0,0,-1,0,1,0,0,2,0/0
Flyers,Capitals,home,F,Cam York D,22:05,0,0,-2,0,0,0,0,1,0/0
Flyers,Capitals,home,F,Egor Zamula D,19:02,0,1,-2,1,2,0,0,1,0/0
