team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flyers,Wild,away,D,Jamie Drysdale D,18:16,0,0,2,1,1,0,0,3,0/0
Flyers,Wild,away,D,Erik Johnson D,14:41,0,0,-1,1,1,0,0,0,0/0
Flyers,Wild,away,D,Rasmus Ristolainen D,25:23,1,1,0,2,2,0,1,1,0/0
Flyers,Wild,away,D,Travis Sanheim D,27:49,0,1,0,3,3,0,1,1,0/0
Flyers,Wild,away,D,Nick Seeler D,18:39,1,1,3,1,2,0,1,1,0/0
Flyers,Wild,away,D,Egor Zamula D,14:12,0,0,0,0,5,0,0,2,0/0
Flyers,Wild,away,D,Jamie Drysdale D,18:16,0,0,2,1,1,0,0,3,0/0
Flyers,Wild,away,D,Erik Johnson D,14:41,0,0,-1,1,1,0,0,0,0/0
Flyers,Wild,away,D,Rasmus Ristolainen D,25:23,1,1,0,2,2,0,1,1,0/0
Flyers,Wild,away,D,Travis Sanheim D,27:49,0,1,0,3,3,0,1,1,0/0
Flyers,Wild,away,D,Nick Seeler D,18:39,1,1,3,1,2,0,1,1,0/0
Flyers,Wild,away,D,Egor Zamula D,14:12,0,0,0,0,5,0,0,2,0/0
Flyers,Wild,away,F,Noah Cates L,07:52,0,1,1,0,0,0,0,0,4/7
Flyers,Wild,away,F,Sean Couturier C,17:32,3,2,5,5,1,0,0,1,11/14
Flyers,Wild,away,F,Nicolas Deslauriers L,06:15,0,0,0,0,0,0,0,0,0/0
Flyers,Wild,away,F,Joel Farabee L,15:59,0,0,0,1,1,2,0,2,0/1
Flyers,Wild,away,F,Tyson Foerster R,11:54,0,0,-1,0,1,0,0,0,0/0
Flyers,Wild,away,F,Morgan Frost C,11:00,0,1,-2,0,0,0,0,0,6/9
Flyers,Wild,away,F,Garnet Hathaway R,15:14,0,0,-2,0,0,4,0,0,0/1
Flyers,Wild,away,F,Travis Konecny R,19:45,1,4,4,4,1,0,1,1,0/0
Flyers,Wild,away,F,Scott Laughton C,17:37,0,0,0,1,0,2,0,0,4/10
Flyers,Wild,away,F,Matvei Michkov R,17:45,1,1,4,1,0,0,0,2,0/1
Flyers,Wild,away,F,Ryan Poehling C,17:02,0,0,-1,0,3,0,0,1,3/12
Flyers,Wild,away,F,Owen Tippett R,14:34,0,2,-2,3,1,0,0,0,0/0
Flyers,Wild,away,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJamie
Flyers,Wild,away,F,Jamie Drysdale D,18:16,0,0,2,1,1,0,0,3,0/0
Flyers,Wild,away,F,Erik Johnson D,14:41,0,0,-1,1,1,0,0,0,0/0
Flyers,Wild,away,F,Rasmus Ristolainen D,25:23,1,1,0,2,2,0,1,1,0/0
Flyers,Wild,away,F,Travis Sanheim D,27:49,0,1,0,3,3,0,1,1,0/0
Flyers,Wild,away,F,Nick Seeler D,18:39,1,1,3,1,2,0,1,1,0/0
Flyers,Wild,away,F,Egor Zamula D,14:12,0,0,0,0,5,0,0,2,0/0
Flyers,Wild,away,F,Noah Cates L,07:52,0,1,1,0,0,0,0,0,4/7
Flyers,Wild,away,F,Sean Couturier C,17:32,3,2,5,5,1,0,0,1,11/14
Flyers,Wild,away,F,Nicolas Deslauriers L,06:15,0,0,0,0,0,0,0,0,0/0
Flyers,Wild,away,F,Joel Farabee L,15:59,0,0,0,1,1,2,0,2,0/1
Flyers,Wild,away,F,Tyson Foerster R,11:54,0,0,-1,0,1,0,0,0,0/0
Flyers,Wild,away,F,Morgan Frost C,11:00,0,1,-2,0,0,0,0,0,6/9
Flyers,Wild,away,F,Garnet Hathaway R,15:14,0,0,-2,0,0,4,0,0,0/1
Flyers,Wild,away,F,Travis Konecny R,19:45,1,4,4,4,1,0,1,1,0/0
Flyers,Wild,away,F,Scott Laughton C,17:37,0,0,0,1,0,2,0,0,4/10
Flyers,Wild,away,F,Matvei Michkov R,17:45,1,1,4,1,0,0,0,2,0/1
Flyers,Wild,away,F,Ryan Poehling C,17:02,0,0,-1,0,3,0,0,1,3/12
Flyers,Wild,away,F,Owen Tippett R,14:34,0,2,-2,3,1,0,0,0,0/0
Flyers,Wild,away,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOJamie
Flyers,Wild,away,F,Jamie Drysdale D,18:16,0,0,2,1,1,0,0,3,0/0
Flyers,Wild,away,F,Erik Johnson D,14:41,0,0,-1,1,1,0,0,0,0/0
Flyers,Wild,away,F,Rasmus Ristolainen D,25:23,1,1,0,2,2,0,1,1,0/0
Flyers,Wild,away,F,Travis Sanheim D,27:49,0,1,0,3,3,0,1,1,0/0
Flyers,Wild,away,F,Nick Seeler D,18:39,1,1,3,1,2,0,1,1,0/0
Flyers,Wild,away,F,Egor Zamula D,14:12,0,0,0,0,5,0,0,2,0/0
