team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flyers,Canadiens,away,D,Emil Andrae D,17:28,0,0,0,1,2,0,1,0,0/0
Flyers,Canadiens,away,D,Jamie Drysdale D,25:03,0,0,-1,2,2,2,0,5,0/0
Flyers,Canadiens,away,D,Erik Johnson D,11:50,0,0,0,0,0,0,0,0,0/0
Flyers,Canadiens,away,D,Rasmus Ristolainen D,20:06,0,0,1,1,0,0,1,1,0/0
Flyers,Canadiens,away,D,Travis Sanheim D,24:50,2,1,2,3,1,0,0,1,0/0
Flyers,Canadiens,away,D,Nick Seeler D,16:48,0,0,-2,1,2,0,1,2,0/0
Flyers,Canadiens,away,D,Emil Andrae D,17:28,0,0,0,1,2,0,1,0,0/0
Flyers,Canadiens,away,D,Jamie Drysdale D,25:03,0,0,-1,2,2,2,0,5,0/0
Flyers,Canadiens,away,D,Erik Johnson D,11:50,0,0,0,0,0,0,0,0,0/0
Flyers,Canadiens,away,D,Rasmus Ristolainen D,20:06,0,0,1,1,0,0,1,1,0/0
Flyers,Canadiens,away,D,Travis Sanheim D,24:50,2,1,2,3,1,0,0,1,0/0
Flyers,Canadiens,away,D,Nick Seeler D,16:48,0,0,-2,1,2,0,1,2,0/0
Flyers,Canadiens,away,F,Noah Cates L,12:41,0,0,-1,2,0,0,0,0,6/10
Flyers,Canadiens,away,F,Sean Couturier C,20:29,0,0,0,2,0,0,0,2,14/22
Flyers,Canadiens,away,F,Nicolas Deslauriers L,05:24,0,1,0,0,0,0,0,0,0/0
Flyers,Canadiens,away,F,Joel Farabee L,14:39,0,1,1,2,0,0,0,1,0/0
Flyers,Canadiens,away,F,Tyson Foerster R,14:42,0,0,-1,0,0,0,0,0,0/0
Flyers,Canadiens,away,F,Morgan Frost C,13:37,0,0,0,0,1,0,1,0,7/9
Flyers,Canadiens,away,F,Garnet Hathaway R,07:47,0,1,1,2,2,0,0,2,0/0
Flyers,Canadiens,away,F,Travis Konecny R,21:27,1,0,0,3,0,0,1,1,1/1
Flyers,Canadiens,away,F,Scott Laughton C,16:37,0,0,0,1,0,0,0,2,0/1
Flyers,Canadiens,away,F,Matvei Michkov R,21:33,0,0,0,2,0,2,1,2,1/2
Flyers,Canadiens,away,F,Ryan Poehling C,13:46,0,1,1,3,2,0,0,1,6/11
Flyers,Canadiens,away,F,Owen Tippett R,19:20,0,1,0,1,1,0,3,1,1/2
Flyers,Canadiens,away,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Canadiens,away,F,Emil Andrae D,17:28,0,0,0,1,2,0,1,0,0/0
Flyers,Canadiens,away,F,Jamie Drysdale D,25:03,0,0,-1,2,2,2,0,5,0/0
Flyers,Canadiens,away,F,Erik Johnson D,11:50,0,0,0,0,0,0,0,0,0/0
Flyers,Canadiens,away,F,Rasmus Ristolainen D,20:06,0,0,1,1,0,0,1,1,0/0
Flyers,Canadiens,away,F,Travis Sanheim D,24:50,2,1,2,3,1,0,0,1,0/0
Flyers,Canadiens,away,F,Nick Seeler D,16:48,0,0,-2,1,2,0,1,2,0/0
Flyers,Canadiens,away,F,Noah Cates L,12:41,0,0,-1,2,0,0,0,0,6/10
Flyers,Canadiens,away,F,Sean Couturier C,20:29,0,0,0,2,0,0,0,2,14/22
Flyers,Canadiens,away,F,Nicolas Deslauriers L,05:24,0,1,0,0,0,0,0,0,0/0
Flyers,Canadiens,away,F,Joel Farabee L,14:39,0,1,1,2,0,0,0,1,0/0
Flyers,Canadiens,away,F,Tyson Foerster R,14:42,0,0,-1,0,0,0,0,0,0/0
Flyers,Canadiens,away,F,Morgan Frost C,13:37,0,0,0,0,1,0,1,0,7/9
Flyers,Canadiens,away,F,Garnet Hathaway R,07:47,0,1,1,2,2,0,0,2,0/0
Flyers,Canadiens,away,F,Travis Konecny R,21:27,1,0,0,3,0,0,1,1,1/1
Flyers,Canadiens,away,F,Scott Laughton C,16:37,0,0,0,1,0,0,0,2,0/1
Flyers,Canadiens,away,F,Matvei Michkov R,21:33,0,0,0,2,0,2,1,2,1/2
Flyers,Canadiens,away,F,Ryan Poehling C,13:46,0,1,1,3,2,0,0,1,6/11
Flyers,Canadiens,away,F,Owen Tippett R,19:20,0,1,0,1,1,0,3,1,1/2
Flyers,Canadiens,away,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Canadiens,away,F,Emil Andrae D,17:28,0,0,0,1,2,0,1,0,0/0
Flyers,Canadiens,away,F,Jamie Drysdale D,25:03,0,0,-1,2,2,2,0,5,0/0
Flyers,Canadiens,away,F,Erik Johnson D,11:50,0,0,0,0,0,0,0,0,0/0
Flyers,Canadiens,away,F,Rasmus Ristolainen D,20:06,0,0,1,1,0,0,1,1,0/0
Flyers,Canadiens,away,F,Travis Sanheim D,24:50,2,1,2,3,1,0,0,1,0/0
Flyers,Canadiens,away,F,Nick Seeler D,16:48,0,0,-2,1,2,0,1,2,0/0
