team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flyers,Bruins,home,D,Emil Andrae D,14:20,0,1,1,0,1,2,1,3,0/0
Flyers,Bruins,home,D,Jamie Drysdale D,20:31,0,0,0,0,4,0,0,0,0/0
Flyers,Bruins,home,D,Erik Johnson D,12:47,0,0,1,0,0,0,1,1,0/0
Flyers,Bruins,home,D,Rasmus Ristolainen D,23:23,0,0,1,1,2,0,0,0,0/0
Flyers,Bruins,home,D,Travis Sanheim D,23:40,0,0,1,0,4,2,1,1,0/0
Flyers,Bruins,home,D,Nick Seeler D,21:43,0,0,0,0,4,0,0,1,0/0
Flyers,Bruins,home,D,Emil Andrae D,14:20,0,1,1,0,1,2,1,3,0/0
Flyers,Bruins,home,D,Jamie Drysdale D,20:31,0,0,0,0,4,0,0,0,0/0
Flyers,Bruins,home,D,Erik Johnson D,12:47,0,0,1,0,0,0,1,1,0/0
Flyers,Bruins,home,D,Rasmus Ristolainen D,23:23,0,0,1,1,2,0,0,0,0/0
Flyers,Bruins,home,D,Travis Sanheim D,23:40,0,0,1,0,4,2,1,1,0/0
Flyers,Bruins,home,D,Nick Seeler D,21:43,0,0,0,0,4,0,0,1,0/0
Flyers,Bruins,home,F,Bobby Brink R,11:06,0,0,0,3,1,0,0,0,0/0
Flyers,Bruins,home,F,Noah Cates L,13:34,0,0,0,0,1,0,2,1,4/6
Flyers,Bruins,home,F,Sean Couturier C,19:03,0,0,0,3,4,0,0,0,8/17
Flyers,Bruins,home,F,Joel Farabee L,13:49,1,0,1,3,2,0,1,0,0/1
Flyers,Bruins,home,F,Tyson Foerster R,15:06,1,0,1,1,0,0,0,1,0/0
Flyers,Bruins,home,F,Morgan Frost C,12:30,0,1,1,0,1,2,0,1,3/5
Flyers,Bruins,home,F,Garnet Hathaway R,12:31,0,0,1,3,0,0,0,0,0/0
Flyers,Bruins,home,F,Travis Konecny R,19:32,0,0,0,0,1,0,0,0,1/1
Flyers,Bruins,home,F,Scott Laughton C,14:11,0,0,0,1,2,2,1,1,8/12
Flyers,Bruins,home,F,Matvei Michkov R,15:36,0,0,0,2,0,0,0,4,1/1
Flyers,Bruins,home,F,Ryan Poehling C,13:50,0,0,1,2,3,0,0,0,5/8
Flyers,Bruins,home,F,Owen Tippett R,12:48,0,0,1,0,0,0,1,0,0/0
Flyers,Bruins,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Bruins,home,F,Emil Andrae D,14:20,0,1,1,0,1,2,1,3,0/0
Flyers,Bruins,home,F,Jamie Drysdale D,20:31,0,0,0,0,4,0,0,0,0/0
Flyers,Bruins,home,F,Erik Johnson D,12:47,0,0,1,0,0,0,1,1,0/0
Flyers,Bruins,home,F,Rasmus Ristolainen D,23:23,0,0,1,1,2,0,0,0,0/0
Flyers,Bruins,home,F,Travis Sanheim D,23:40,0,0,1,0,4,2,1,1,0/0
Flyers,Bruins,home,F,Nick Seeler D,21:43,0,0,0,0,4,0,0,1,0/0
Flyers,Bruins,home,F,Bobby Brink R,11:06,0,0,0,3,1,0,0,0,0/0
Flyers,Bruins,home,F,Noah Cates L,13:34,0,0,0,0,1,0,2,1,4/6
Flyers,Bruins,home,F,Sean Couturier C,19:03,0,0,0,3,4,0,0,0,8/17
Flyers,Bruins,home,F,Joel Farabee L,13:49,1,0,1,3,2,0,1,0,0/1
Flyers,Bruins,home,F,Tyson Foerster R,15:06,1,0,1,1,0,0,0,1,0/0
Flyers,Bruins,home,F,Morgan Frost C,12:30,0,1,1,0,1,2,0,1,3/5
Flyers,Bruins,home,F,Garnet Hathaway R,12:31,0,0,1,3,0,0,0,0,0/0
Flyers,Bruins,home,F,Travis Konecny R,19:32,0,0,0,0,1,0,0,0,1/1
Flyers,Bruins,home,F,Scott Laughton C,14:11,0,0,0,1,2,2,1,1,8/12
Flyers,Bruins,home,F,Matvei Michkov R,15:36,0,0,0,2,0,0,0,4,1/1
Flyers,Bruins,home,F,Ryan Poehling C,13:50,0,0,1,2,3,0,0,0,5/8
Flyers,Bruins,home,F,Owen Tippett R,12:48,0,0,1,0,0,0,1,0,0/0
Flyers,Bruins,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Bruins,home,F,Emil Andrae D,14:20,0,1,1,0,1,2,1,3,0/0
Flyers,Bruins,home,F,Jamie Drysdale D,20:31,0,0,0,0,4,0,0,0,0/0
Flyers,Bruins,home,F,Erik Johnson D,12:47,0,0,1,0,0,0,1,1,0/0
Flyers,Bruins,home,F,Rasmus Ristolainen D,23:23,0,0,1,1,2,0,0,0,0/0
Flyers,Bruins,home,F,Travis Sanheim D,23:40,0,0,1,0,4,2,1,1,0/0
Flyers,Bruins,home,F,Nick Seeler D,21:43,0,0,0,0,4,0,0,1,0/0
