team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flyers,Lightning,home,D,Emil Andrae D,16:07,0,0,0,1,1,0,1,0,0/0
Flyers,Lightning,home,D,Jamie Drysdale D,25:51,0,0,1,2,2,0,0,4,0/0
Flyers,Lightning,home,D,Rasmus Ristolainen D,22:15,0,0,-1,0,2,0,2,1,0/0
Flyers,Lightning,home,D,Travis Sanheim D,28:21,0,0,1,2,2,0,2,3,0/0
Flyers,Lightning,home,D,Nick Seeler D,15:57,0,0,-1,0,2,0,0,2,0/0
Flyers,Lightning,home,D,Egor Zamula D,12:14,0,0,0,1,1,0,0,0,0/0
Flyers,Lightning,home,D,Emil Andrae D,16:07,0,0,0,1,1,0,1,0,0/0
Flyers,Lightning,home,D,Jamie Drysdale D,25:51,0,0,1,2,2,0,0,4,0/0
Flyers,Lightning,home,D,Rasmus Ristolainen D,22:15,0,0,-1,0,2,0,2,1,0/0
Flyers,Lightning,home,D,Travis Sanheim D,28:21,0,0,1,2,2,0,2,3,0/0
Flyers,Lightning,home,D,Nick Seeler D,15:57,0,0,-1,0,2,0,0,2,0/0
Flyers,Lightning,home,D,Egor Zamula D,12:14,0,0,0,1,1,0,0,0,0/0
Flyers,Lightning,home,F,Bobby Brink R,16:58,0,0,-1,1,0,0,0,0,1/1
Flyers,Lightning,home,F,Noah Cates L,10:41,0,0,0,1,1,0,1,0,2/4
Flyers,Lightning,home,F,Sean Couturier C,23:27,0,0,0,4,1,0,0,0,9/18
Flyers,Lightning,home,F,Nicolas Deslauriers L,05:11,0,0,0,0,1,0,0,0,0/0
Flyers,Lightning,home,F,Joel Farabee L,16:36,0,0,0,4,0,0,1,2,0/1
Flyers,Lightning,home,F,Tyson Foerster R,15:21,0,0,0,2,0,2,0,1,0/0
Flyers,Lightning,home,F,Morgan Frost C,15:18,0,0,0,0,0,2,1,0,5/7
Flyers,Lightning,home,F,Garnet Hathaway R,09:59,0,0,0,1,1,0,0,0,0/0
Flyers,Lightning,home,F,Travis Konecny R,23:17,0,1,1,2,1,0,0,0,0/1
Flyers,Lightning,home,F,Scott Laughton C,17:10,0,0,0,5,0,0,1,3,4/9
Flyers,Lightning,home,F,Anthony Richard C,16:00,0,0,-1,2,1,0,0,0,0/0
Flyers,Lightning,home,F,Owen Tippett R,20:17,1,0,1,3,1,0,1,3,0/0
Flyers,Lightning,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Lightning,home,F,Emil Andrae D,16:07,0,0,0,1,1,0,1,0,0/0
Flyers,Lightning,home,F,Jamie Drysdale D,25:51,0,0,1,2,2,0,0,4,0/0
Flyers,Lightning,home,F,Rasmus Ristolainen D,22:15,0,0,-1,0,2,0,2,1,0/0
Flyers,Lightning,home,F,Travis Sanheim D,28:21,0,0,1,2,2,0,2,3,0/0
Flyers,Lightning,home,F,Nick Seeler D,15:57,0,0,-1,0,2,0,0,2,0/0
Flyers,Lightning,home,F,Egor Zamula D,12:14,0,0,0,1,1,0,0,0,0/0
Flyers,Lightning,home,F,Bobby Brink R,16:58,0,0,-1,1,0,0,0,0,1/1
Flyers,Lightning,home,F,Noah Cates L,10:41,0,0,0,1,1,0,1,0,2/4
Flyers,Lightning,home,F,Sean Couturier C,23:27,0,0,0,4,1,0,0,0,9/18
Flyers,Lightning,home,F,Nicolas Deslauriers L,05:11,0,0,0,0,1,0,0,0,0/0
Flyers,Lightning,home,F,Joel Farabee L,16:36,0,0,0,4,0,0,1,2,0/1
Flyers,Lightning,home,F,Tyson Foerster R,15:21,0,0,0,2,0,2,0,1,0/0
Flyers,Lightning,home,F,Morgan Frost C,15:18,0,0,0,0,0,2,1,0,5/7
Flyers,Lightning,home,F,Garnet Hathaway R,09:59,0,0,0,1,1,0,0,0,0/0
Flyers,Lightning,home,F,Travis Konecny R,23:17,0,1,1,2,1,0,0,0,0/1
Flyers,Lightning,home,F,Scott Laughton C,17:10,0,0,0,5,0,0,1,3,4/9
Flyers,Lightning,home,F,Anthony Richard C,16:00,0,0,-1,2,1,0,0,0,0/0
Flyers,Lightning,home,F,Owen Tippett R,20:17,1,0,1,3,1,0,1,3,0/0
Flyers,Lightning,home,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Lightning,home,F,Emil Andrae D,16:07,0,0,0,1,1,0,1,0,0/0
Flyers,Lightning,home,F,Jamie Drysdale D,25:51,0,0,1,2,2,0,0,4,0/0
Flyers,Lightning,home,F,Rasmus Ristolainen D,22:15,0,0,-1,0,2,0,2,1,0/0
Flyers,Lightning,home,F,Travis Sanheim D,28:21,0,0,1,2,2,0,2,3,0/0
Flyers,Lightning,home,F,Nick Seeler D,15:57,0,0,-1,0,2,0,0,2,0/0
Flyers,Lightning,home,F,Egor Zamula D,12:14,0,0,0,1,1,0,0,0,0/0
