team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Flyers,Sharks,away,D,Emil Andrae D,25:40,0,1,0,4,2,0,2,0,0/0
Flyers,Sharks,away,D,Erik Johnson D,12:51,1,0,0,1,1,5,2,0,0/0
Flyers,Sharks,away,D,Rasmus Ristolainen D,24:08,0,0,-2,3,1,0,0,3,0/0
Flyers,Sharks,away,D,Travis Sanheim D,30:23,0,0,0,4,2,0,0,0,0/0
Flyers,Sharks,away,D,Nick Seeler D,18:42,0,0,-2,3,0,5,1,0,0/0
Flyers,Sharks,away,D,Egor Zamula D,13:03,0,1,2,0,0,0,1,1,0/0
Flyers,Sharks,away,D,Emil Andrae D,25:40,0,1,0,4,2,0,2,0,0/0
Flyers,Sharks,away,D,Erik Johnson D,12:51,1,0,0,1,1,5,2,0,0/0
Flyers,Sharks,away,D,Rasmus Ristolainen D,24:08,0,0,-2,3,1,0,0,3,0/0
Flyers,Sharks,away,D,Travis Sanheim D,30:23,0,0,0,4,2,0,0,0,0/0
Flyers,Sharks,away,D,Nick Seeler D,18:42,0,0,-2,3,0,5,1,0,0/0
Flyers,Sharks,away,D,Egor Zamula D,13:03,0,1,2,0,0,0,1,1,0/0
Flyers,Sharks,away,F,Bobby Brink R,13:15,0,0,-1,1,0,2,0,1,0/0
Flyers,Sharks,away,F,Noah Cates L,14:07,0,0,0,3,1,0,0,0,6/14
Flyers,Sharks,away,F,Sean Couturier C,20:09,0,0,0,0,1,0,1,1,11/18
Flyers,Sharks,away,F,Joel Farabee L,16:25,0,0,-2,2,0,0,1,1,0/1
Flyers,Sharks,away,F,Tyson Foerster R,12:32,0,0,0,2,0,0,0,0,0/0
Flyers,Sharks,away,F,Garnet Hathaway R,13:00,0,0,-1,0,0,0,0,1,1/1
Flyers,Sharks,away,F,Travis Konecny R,21:23,1,0,0,5,0,0,1,2,0/0
Flyers,Sharks,away,F,Scott Laughton C,15:57,0,0,-2,4,0,0,0,1,4/12
Flyers,Sharks,away,F,Matvei Michkov R,15:55,1,1,2,2,0,2,2,1,1/1
Flyers,Sharks,away,F,Ryan Poehling C,14:44,0,1,1,2,1,0,0,1,8/15
Flyers,Sharks,away,F,Anthony Richard C,11:00,0,1,1,1,0,0,0,0,0/0
Flyers,Sharks,away,F,Owen Tippett R,19:45,0,0,-1,6,1,0,1,1,0/0
Flyers,Sharks,away,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Sharks,away,F,Emil Andrae D,25:40,0,1,0,4,2,0,2,0,0/0
Flyers,Sharks,away,F,Erik Johnson D,12:51,1,0,0,1,1,5,2,0,0/0
Flyers,Sharks,away,F,Rasmus Ristolainen D,24:08,0,0,-2,3,1,0,0,3,0/0
Flyers,Sharks,away,F,Travis Sanheim D,30:23,0,0,0,4,2,0,0,0,0/0
Flyers,Sharks,away,F,Nick Seeler D,18:42,0,0,-2,3,0,5,1,0,0/0
Flyers,Sharks,away,F,Egor Zamula D,13:03,0,1,2,0,0,0,1,1,0/0
Flyers,Sharks,away,F,Bobby Brink R,13:15,0,0,-1,1,0,2,0,1,0/0
Flyers,Sharks,away,F,Noah Cates L,14:07,0,0,0,3,1,0,0,0,6/14
Flyers,Sharks,away,F,Sean Couturier C,20:09,0,0,0,0,1,0,1,1,11/18
Flyers,Sharks,away,F,Joel Farabee L,16:25,0,0,-2,2,0,0,1,1,0/1
Flyers,Sharks,away,F,Tyson Foerster R,12:32,0,0,0,2,0,0,0,0,0/0
Flyers,Sharks,away,F,Garnet Hathaway R,13:00,0,0,-1,0,0,0,0,1,1/1
Flyers,Sharks,away,F,Travis Konecny R,21:23,1,0,0,5,0,0,1,2,0/0
Flyers,Sharks,away,F,Scott Laughton C,15:57,0,0,-2,4,0,0,0,1,4/12
Flyers,Sharks,away,F,Matvei Michkov R,15:55,1,1,2,2,0,2,2,1,1/1
Flyers,Sharks,away,F,Ryan Poehling C,14:44,0,1,1,2,1,0,0,1,8/15
Flyers,Sharks,away,F,Anthony Richard C,11:00,0,1,1,1,0,0,0,0,0/0
Flyers,Sharks,away,F,Owen Tippett R,19:45,0,0,-1,6,1,0,1,1,0/0
Flyers,Sharks,away,F,Flyers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEmil
Flyers,Sharks,away,F,Emil Andrae D,25:40,0,1,0,4,2,0,2,0,0/0
Flyers,Sharks,away,F,Erik Johnson D,12:51,1,0,0,1,1,5,2,0,0/0
Flyers,Sharks,away,F,Rasmus Ristolainen D,24:08,0,0,-2,3,1,0,0,3,0/0
Flyers,Sharks,away,F,Travis Sanheim D,30:23,0,0,0,4,2,0,0,0,0/0
Flyers,Sharks,away,F,Nick Seeler D,18:42,0,0,-2,3,0,5,1,0,0/0
Flyers,Sharks,away,F,Egor Zamula D,13:03,0,1,2,0,0,0,1,1,0/0
